State,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
ND,1337.0,284.0,21.24
ID,112843.0,18672.0,16.55
OK,439187.0,47083.0,10.72
KY,536387.0,47073.0,8.78
KS,138094.0,12077.0,8.75
MT,12203.0,964.0,7.9
NV,332670.0,25794.0,7.75
MI,1384862.0,106753.0,7.71
SC,736906.0,54782.0,7.43
CO,335877.0,24848.0,7.4
AL,908942.0,64247.0,7.07
VT,25273.0,1763.0,6.98
UT,109302.0,7158.0,6.55
ME,18364.0,1193.0,6.5
GA,2214588.0,138769.0,6.27
OR,283647.0,17495.0,6.17
IN,243269.0,14286.0,5.87
MO,457957.0,26771.0,5.85
MN,53016.0,3088.0,5.82
MS,437282.0,25293.0,5.78
WA,152486.0,8621.0,5.65
AR,562795.0,30750.0,5.46
FL,5531170.0,300315.0,5.43
CA,3337755.0,179709.0,5.38
OH,1604784.0,85852.0,5.35
AZ,820879.0,43630.0,5.32
VA,437357.0,22946.0,5.25
AK,8436.0,433.0,5.13
RI,90461.0,4593.0,5.08
IL,1119936.0,56536.0,5.05
SD,61478.0,3097.0,5.04
NC,1449555.0,70427.0,4.86
LA,688243.0,32746.0,4.76
MD,334115.0,15780.0,4.72
NH,54683.0,2558.0,4.68
WV,268581.0,12405.0,4.62
TN,1351719.0,62120.0,4.6
TX,4140949.0,188867.0,4.56
CT,231038.0,10435.0,4.52
WI,279901.0,12198.0,4.36
PA,3381166.0,143258.0,4.24
WY,21738.0,901.0,4.14
NJ,923660.0,37496.0,4.06
NM,135363.0,5424.0,4.01
DE,64342.0,2572.0,4.0
NE,51062.0,2020.0,3.96
HI,185653.0,6967.0,3.75
MA,959621.0,35041.0,3.65
IA,80776.0,2621.0,3.24
DC,25586.0,792.0,3.1
NY,1980926.0,57605.0,2.91
PR,229574.0,3761.0,1.64
GU,14269.0,200.0,1.4
VI,12143.0,109.0,0.9
